,title,content
0,무슨 일을 해도 금방 지쳐버려요. 무슨 문제가 있는걸까요?,"안녕하세요? 올해로 29살인 여자입니다. 저는 요즘 한 고민으로 인해 생업과 현생에 지장을 주고 있어 이렇게 많은 분들의 조언이나 충고 더 나아가서는 심리 상담사 분의 전문적인 도움 받고자 마카를 찾아 왔습니다. 일단 이야기를 시작하기 전에 제 직업은 아이들을 돌보고 보살피는 보육교사, 어린이집 선생님임을 밝힙니다. 제가 어린이집 선생님을 꿈꾼건 사회복지학과를 다니던 대학생때였습니다 제가 다니던 학교는 전문대였고 전공선택을 1학년 2학기때부터 할수있었고 저는 3달이라는 여름방학을 활용하여 대학교에서 진행하는 직업체험 프로그램에 참여, 그곳에서 보육원에서 일하며 아이들을 돌보고 가르치는 일에 보람을 느껴 보육학과로 전공을 돌리려했으나 부모님의 반대로 (제가 성격이 많이 덜렁거리고 세심하지 않습니다) 저는 사회복지를 전공으로 돌렸습니다. 하지만 졸업후 제가 사는 지역은 신입 사회복지사의 자리가 많지 않았고 있다 해도 그 당시(6일근무) 90만원이라는 적은 월급에 일이 많이 힘들어 다니던 복지관을 그만두고 알바를 진전하다 모은돈으로 보육교사 공부를 시작. 그렇게 3년전부터 어린이집 선생님을 시작 하였습니다. 초반엔 정말 거짓말 하나 안 보태고 아이들을 단호하고 엄격하게 훈육하는데는 부족한면이 있었지만 아이들을 사랑으로 돌보고 마음을 읽어주는 섬세한 선생님 미혼여성이지만 엄마같은 마음으로 아이들을 케어해주었습니다. 아이들을 진심으로 다해주니 까다롭고 예민하다는 어머님들도 항상 감사하다며 친철을 베풀어주셨고 저도 그 친절에 보답하여 아이들을 사랑으로 보살폈습니다. (자랑이지만 제가 보던 아이들중 아주 개구진 아이가 있었는데 아이가 어린이집 다니면서 많이 의젓해졌고 어린이집 가는걸 좋아한다던 부모님이 계셨습니다) 저의 이런모습에 원장님,대표님도 늘 고맙다고 하시고 어려운게 있으면 항상 도와주시고 하셨습니다. 그렇게 초임시절을 열심히 달리다보니 조금씩 지쳐가는 제 모습이 비춰졌고 경력1년을 다 채워가려던 그때 어린이집이 개인사정으로 문을 닫는다고 하여 어린이집을 그만두면 잠시 휴식기를 갖고싶다고 하며 가족들에게 현 상황에 대해 이야기를 하였습니다. 동생들이야 저를 이해해준다 하지만 나이대가 있으신 부모님은 힘들어하는 저는 이해한다 해도 일을 쉬는걸 이해 못하셨습니다. 또 가정환경상 쉬는게 어려워(아버지가 다니던 직장에 사표를 내셨습니다)(몇십년간 다니셨던 회사에 정년퇴직을 하셨지만 일하신다고 하셔서 다른 회사에 다니시던 중에 이 회사에 사표) 일을 찾아야만 하였고 저는 물들어올때 노 저어라,젊을때 가능한 많이 벌어라 라는 생각으로 다시 어린이집 일을 하게되었습니다. 그러나 두번째 어린이집은 생각보다 까다로운 작업이 많았고 몸도,마음도 지쳤습니다. 선생님,원장님들이 많이 도와주셨지만 너무 힘들고 지쳤습니다. 그렇다보니 제 아이들을 세심한 눈으로 관찰하지도 않아 아이의 문제행동이 있는지도 모른체, 결국 이 문제행동이 사고로 이어졌을때 아차 하는 일이 자주 발생하였습니다. 이렇게 사고를 쳤지만 원장님은 항상 따듯한 마음으로 충고해주시고 지켜봐주셨습니다. 그러나 제 마음은 여전히 지쳤습니다. 그렇게 또 1년을 버티고 이번엔 좀 휴식기를 가져볼까 했는데 선생님들도, 부모님도 휴식기를 갖는건 잘못된거라며 말리더군요. 그렇게 저는 몸과 마음이 지친상태에서 새로운 어린이집을 찾았고 일을 하였으나 결국, 정신적으로 힘이 들어 중도퇴사를 하였습니다. 그렇게 저는 원하던 휴식기를 갖게 되었습니다. 몸이 편하니 마음도 한결 편안해 지는걸 느꼈습니다만, 계속 쉬는건 가족들에게 민폐인것 같아 3달을 쉬고 다시 어린이집일을 시작하였고 현재도 계속 다니고있습니다. 하지만 계속해서 일어나는 실수들.... 처음엔 아홉수의 저주인가? 싶었는데 다시 생각해보니 초임을 제외한 모든 어린이집에서 몸과 마음이 지치니 일이 모든게 힘들어지고 그렇다보니 실수도 잦아시는 일들이 계속해서 벌어지는게 아 내가 뭘하면 금방 지치는구나 하는 생각이 들었습니다. 좋은말로 포장하면 초심을 금방 잃는다고 할까요? 사실, 저는 전에도 이런일이 많았습니다. 학창시절에는 빵 만드는 드라마를 보고 제빵사가 되겠다고 열정을 불태웠다가 제빵사의 현실과 여러차례 떨어지는 시험에(열심히 안한 것도 있지만) 실증을 느꼈었고 기타치며 노래하는 가수를 보고 나도 저 가수만큼은 아니어도 기타치는 멋진 사람이 되어야겠다고 생각하여 부모님을 졸라 기타 동아리에 들어갔지만 또 초반에만 열심히~ 후반엔 흐지부지였습니다. 이렇게 무슨일이든 초반에는 열정이란 열정은 쏟아부었다가 중반,후반에는 지쳐버려서 흐지부지 되는 일. 상당히 문제가 많아보이는데 노력없이 결과만 좋길 바라는 게으름 뱅이의 단순한 핑계일까요? 정말 정신적으로 문제가 많은걸까요? 궁금합니다. 도와주세요"
1,,"안녕하세요 임신 8개월차 26살 임산부 에요 고민 끝에 여기라도 끄적여봐요 ,, 너무 답답하고 맨날 울기만 하고 틈만나면 자꾸 부정적 생각에 ,, 원래 어릴적부터 친구도 없고 초등학교때도 왕따만 수도없이 당하고 중학교때도 그랬었고 그나마 고등학교때 조금 엇나가서 친구도 생기고 했지만 졸업하니 또 옆에 있는 사람은 아무도 없다는게 진짜 인간관계에 문제가 큰가보다 싶기도 하고 그냥 성인되고 스트레스며 이런건 다 옷사고 소비하는데 지금껏 모아논 돈도 없고 스트레스를 왜 옷 사는데에 쓰게되는지도 모르겠구요 다른걸로 풀어보려해도 풀리지가 않고 곧 애기가 나올텐데 돈도 아끼고 마음 정리도 다 잡고 해야할텐데 엄마가 될 자격도 없어보이고 별것도 아닌것에 맨날 남편한테 ***만 하고 갑자기 애기 갖기전 다들 저를 옷 잘입고 이쁘다고 바라봐주던 그 사진들 보다가 현실을 보니 이렇게 못생기고 못나졌나 싶기도 하고 뭔가 저도 모르게 제가 망가져가는거 같은데 이런 제가 부모가 될 자격이 과연 있을지 어릴적 자살하고 싶단 수많은 생각도 했고 우울증도 너무 심하게 알았던 저는 다 완치한 줄 알았지만 아니었나봐요 이런 저를 책임지게 만든 남편한테도 미안하고 임신만 안했으면 남편은 더 이쁘고 능력있는 여자랑 결혼 하지 않았을까 싶어요 지금도 애기 한테 미안하고 저 도대체 어떻해야될까요 무너져가는거 같아요 맨날 울기나 하고 6년동안 옷만 알아서 지금도 옷가게에서 일하는데 무슨 일만 나가면 준비 시작한것처럼 나를 숨기려 웃으면서 음 렇지 않은척 하고 퇴근하면 너무 힘들어요 진 빠지고 그런 제가 저는 너무 한심하네요 지나가다 보면 친구들이랑 사진도 찍고 웃으면서 있는 사람들이 너무 부러워요 지금 이 직장에서도 저랑 다 친했는데 왜 다 저랑 멀어진걸까요 확실히 저한테 문제가 큰거겠죠 살아갈 이유를 못찾셌어요"
2,"지나친 책임감, 관계 단절에 대한 불안.","저는 이 두 가지가 저의 모든 문제를 만든다고 생각해요 무슨 일이든 맡기거나 믿어주면 다른 사람 몫까지 떠맡아서 책임감을 갖고 하려 하지만, 만약 문제가 생기면 저 말고는 책임을 물을 사람이 없게 돼 버려요. 관계도 마찬가지, 모든 관계에서 내 탓을 하고 불만보다는 상대를 이해하려고만 해요. 이건 지나친 책임감하고 통하는 것 같은데, 이건 다 제가 관계가 끊어지는 데 대한 불안이 너무 커서 생기는 일 같아요. 지금 너무 힘든 일 때문에 며칠 동안 괴로운데, 어떻게든 생각을 정리하다 이만큼 왔어요. 다른 사람이 나 때문에 피해를 입고 곤란을 겪는 걸 견딜 수가 없어요. 그것 때문에 그 사람들도 결국 나를 떠날 거라는 불안 때문에 안 좋은 생각이 많이 들어요."
3,지친걸까요.. 조언 부탁드립니다..,10년이면 강산도 변한다고 하죠 그 오랜 시간동안 평범했지만 뜨겁고 예쁘게 연애했고 아직도 서로 많이 사랑하고 있다고 생각해요 하지만 사람 사는게 다 비슷하듯이 우리 커플도 치명적인 단점이 있는데 아직 그 단점을 극복하지 못했어요 그리고 며칠전 다퉜는데 어김없이 그 단점때문에 제가 먼저 헤어지자는 말을 꺼내게 됐습니다 많은 대화들을 하고 헤어지게 되는듯 싶었으나 떠나려는 저를 남친이 잡았고 헤어지잔 말은 취소하고 화해하게 됐어요 화해 후 좀 더 많은 대화를 나누자고 약속하며 마무리 되는듯 했습니다 그런데 제 마음은 그렇지 못한것 같아요 서로 공격적인 언행으로 상처주고 아프게 했던게 잊혀지지가 않습니다 사실 자주 싸우지는 않지만 한번 싸우면 다신 안볼것처럼 싸우지만 그 자리에서 서로 기분 풀어주고 화해했었습니다 그런데 이번엔 남친은 괜찮은것 같은데 저는 그 날 이후 하루종일 그 날의 일들이 머릿속에서 떠나지 않네요 자꾸 한숨을 쉬게 되고 가슴이 답답하고 이별을 생각하며 울게 되네요.. 헤어지기 싫은 마음과 헤어지고 싶은 마음이 뒤엉켜서 마음이 너무 복잡합니다 그걸 남친도 잘 알고 있어서 불안해 하고 더 잘하려고 노력하는게 보이는데 그런 모습을 보면서 마음이 너무 아프고 이러지 말아야지 하는데 자꾸만 생각이 점점 많아지네요 반복되는 심각한 다툼에 제가 지쳐버린걸까요 한번 더 지켜봐달라는 남친의 말을 믿어야 하는걸까요 오랜 시간 서로 함께해서 헤어지는걸 서로 너무 두려워하고 있는데 저 혼자 자꾸 이런 생각하는것 같아서 남친한테 미안하고 마음이 너무
4,사람들과 깊게 관계를 맺지 못합니다.,"안녕하세요. 저는 삼십대 중반의 여자입니다. 저는 겉으로 봤을때 큰 문제가 없습니다. 처음 보는 사람들과도 함께 업무 등을 처리하는데 문제 없이 잘 지내려 하고, 늘 우울감을 갖고는 있지만 우울증 때문에 생활이 불가할 정도도 아닙니다. 다만 근 1년간 지속적으로 고민으로 다가오는 부분이 있는데, 표면적으로는 사람들과 잘 지내지만 인간관계를 깊게 맺지 못하는 부분입니다. 제 성격 자체가 외향적이기보다는 내향적이고, 넓은 인간관계보다는 좁은 인간관계를 선호하며 사람들과 있을 때보다 혼자서 시간을 보내며 에너지를 충전하는 편이라 사람들을 많이 만나지 않고 두루 사귀지 못하는 것에 대해서는 그럴 수 있다고도 생각하고 고민도 아닙니다. 다만 저에게 다가오는 사람들에게도 저는 어느순간 제 기준을 두어 판단하고, 어느 경계 이상 들어오지 못하게 저도 모르게 방어한다는 느낌을 받습니다. 저는 제 주변 사람들과는 잘 싸우지 않는데,싸우게 되면 그 인간관계는 거기서 끝나버리기 때문에 그렇습니다. 제가 더 문제로 느끼는 부분은 이성관계를 맺을 때도 그렇다라는 것입니다. 남자친구를 만난 경험도 적지만, 그들은 저에게 깊은 얘기를 하는데 저는 저의 이야기를 잘 못해서 많이 답답해하고 잘 싸우지도 못해서 결국 짧은 주기로, 한번 싸우면 헤어져버립니다. 이별을 통보하는 건 모두 저였고, 남자친구들이 소리지르거나 화를 내면 저는 그 순간에는 싸우지도 못하고 아무말도 할 수 없고 그냥 도망가게 되더라고요. 앞으로 제가 정말 사랑하는 사람을 만났을때도 이렇게 될까봐 고민입니다. 제가 회피형이라는 것도 알겠고, 지금 이순간 연애나 결혼을 안하는 것이 저의 문제가 아니란 것도 알고 있지만, 관계에 갈등이 있을때 도망가버리는 것은 저의 문제라는 걸 인지하고 있습니다. 저의 이야기를 잘 하지도 못하고 하는 것도 꺼려져서 사실 모르는 사람과 길게 상담을 생각하는 것도 무섭습니다. 어차피 저를 이해하지 못할것 같아서요. 이게 개선이 될 수 있는 문제일까요? 저는 어디에서 도움을 받아야할까요?"
5,이혼후에도 남편에 집착하는 내 자신이싫어요.,어린시절 아빠가 지병이 있으셔서 경제적인 활동을 엄마가 해 오셨어요. 오빠와 여동생이 있었지만 항상 집안 일은 제가 거의 다 해야 하는 상황이였습니다. 정신적 지주이셨던 엄마 같던 아빠가 고3때 돌아가시고 저는 취업을 해서 3년정도 회사를 다니다 지인의 소개로 신랑을 만나 7개월만에 결혼 했습니다. 신랑은 외동아들로 시어머니께서 지병이 있으셔서 혼자 외롭게 보냈다고 하더라구요. 서로 외로운 사람끼리 사랑하며 잘 살아보자 하구 했는데 한달만에 임신하여 입덧이 심한 상태였습니다. 신랑은 새로운 회사에 적응하기 바빠 퇴근은 항상 늦었고 혼자 보내는 시간이 많아 외로웠습니다. 그러던 결혼 3개월차에 시어머니 병세가 말기암으로 시한부 한정을 받으셨어요. 그래서 임신한 몸으로 시댁으로 들어가 어머니 간병하고 시아버지 농사일까지 도우며 지냈는데. 문병 오신 외삼촌이 오셔서는 사람이 잘 못 들어와 우환이 생겼다고 면접에 대놓고 얘기하시는데 눈물이 앞을 가리더라구요. 다행인것 옆에 계시던 시아버지께서 원래지병이 있었는데 무슨 소리냐고 얘기해 주셔서 그나마 참고 넘겼는데 지금도 그상처는 지워지지않더라구요. 5개월뒤 시어머니는 돌아가시고 아버지 혼자 시골에 계시는데 식사도 못하셔서 제가 출산을 하고 시댁 근처로 이사를 가서 다시 생로운 환경에서 시작되었습니다. 내성적인 성격이라 사람 사귀는게 쉽지 않아서 아이와 둘이 교회를 다니며 정착해가고 있었습니다. 그러던 어느날 신랑이 지갑을 놓고 출근했는데 딸이 아빠 지갑속 카드며 명함등을 꺼내놓았더라구요. 정리하던중 이상한 편지를 발견했는데 여자 직장동료가 그만하자는 내용의 편지더라구요. 너무당황스러워 어찌할바를 모르고 주저앉아 있다 퇴근한 신랑한테 물으니 그냥 직장 동료라며 편지를 찢어버리고 나가버렸어요. 믿자믿자 마음을 다 잡고 있었는데 뭔가 이상한 촉이 들어 지갑속을 보니 내사진과 딸사진 뒷 속에 그 여자 동료에 사진이 보관 중이였고 전화가 오면 그 여자의 나시입은 사진이 뜨는게 아니겠어요. 누군가에게 도움을 청해야 할거 같아 시어머니처럼 따르는 외숙모님께 말씀 드렸더니 신랑은 딱 잡아떼고 아니라는 말만 되풀이. 그 회사를 그만두면 끝나겠지 싶어 원래살던 다른지방으로 이사를 왔는데도 늦은새벽 그여자는 오빠바꾸라며 전화를 하였습니다. 이젠 아니다 싶어 이혼 요구를 했더니 절대 아니니까 믿고 아이와 행복하게 살자 빌어서 믿고 살아보기로 했습니다. 그러나 신랑은 그후에 색스폰 학원에 다니며 육아는 나에게 맡기고 학원과 행사 다니기에 바빴습니다. 거의19년동안 속고 바보같이 살았다는 생각에 울화통이터버리고 원망만 가득하여 작년 8월 이혼하고 아이들 충격으로 한집에서 같이 살고 있습니다. 이혼후 바뀌겠다고 나가지 말라는데 조금만 늦거나 이상한 촉이 오면 불안하고 두렵습니다. 현재 우울증약을 처방 받아 먹고 있으나 감정기복은 널뛰기를 하고 있고 이혼후에도 신랑한테 집착하고 있는 제 자신이 넘 싫습니다.
6,불안을 떨칠 수 있는 좋은 방법이 없을까요??,제가 격는 불안이라는게 현실적이지 않은 극히 확률적으로 적은 것들입니다. 예를 들면 비행기를 타야되는데 사고가 나면 어떻게하지? 잠에 들어야되는데 내가 자는 사이에 집에 불이나면 어쩌지? 등등 대체적으로 무언가 사고가 나서 내가 죽게되는 불안과 그 외에도 해고되면 어쩌지? 여행을 가서 지갑을 잃어버리면 어쩌지? 밖에서 핸드폰 배터리가 방전되면 어쩌지? 등 정말 사소한것들까지입니다. 이러다가 이 불안들 때문에 제가 좋아하는 것들을 못하게되고 아무것도 못하게 되는것 아닌지 불안해요. 혹시 불안을 떨칠 좋은 방법이 없을까요????
7,,나의 우울한 감정들을 되돌아봐야 내가 어떤 사고를 잘못하고 있고 슬픈지도 알 수 있을 텐데 오히려 되돌아보면서 그 말도 안 되는 생각에 다시 갇히고 슬퍼하게 되고 나를 미워하게 돼서 정리하기도 힘들어 ㅠㅜ 어떡해야 나를 제대로 보고 나아질 수 있을까?
8,이제는 사람답게 살고 싶어요.,저는 10년 전에 처음 공황발작이 왔습니다. 그 때는 부모님이 신경정신과 진료를 보는 것을 나쁘게 생각하셨고 제가 공황장애인것 같다고 이야기를 했을 때는 부정하셨습니다. 물론 그건 지금도 마찬가지입니다. 처음 발작이 오고 나서 공황장애인것을 알고 나서부터는 머릿속에서 공황이 떠나지 않았고 사람들과 관계를 끊게 되었습니다. 그렇게 계속 지내다보니 대인관계도 좋지 않고 대인기피증도 생겼답니다. 그리고 8년 전에 공황이 재발을 하였답니다. 그때는 정신의학과에 가서 진료를 보았습니다. 그리고 약도 먹고 하였는데 3분도 안되는 상담 시간에다가 깊은 얘기를 할 수 있다고 생각하고 병원에 갔는데 그렇지 못하게 되니 실망감에 저 혼자 단약을 했답니다. 그 후로도 나아졌다가.. 아니 괜찮은척 연기를 하고 있다가 한순간에 훅 하고 떨어지고 다시 괜찮은척 하다가 안좋아지는 상황이 반복되고 있답니다. 그러면서 조금만 스트레스를 받으면 구역감. 위불편 식은땀 숨막힘. 어지러움 증상들이 나타난답니다. 소화도 안되고 역류성 식도염. 소화 불량 등의 증상들을 내과에서 치료하였는데 심하지도 않고 한국 사람들이 기본적으로 가지고 있는 정도라고 하셨습니다. 공황으로 인한 우울감. 자존감 낮아짐. 광장공포. 폐쇄공포. 대인기피증도 있답니다. 2년 전부터는 이명이 왔고 2월에는 원래 약하게 있던 이석증이 더 심하게 와서 병원 진료를 보았습니드. 올해 초 2월에 다른 병원을 방문하였는데 상담을 하였는데 약이 잘 맞지 않아서 먹지 않았답니다. 반복되는 불안장애 증상들과 우울감. 신체 증상들로 너무 지치고 힘이 듭니다. 병원에 가서 진료를 보고 상담을 받으며 약을 먹고 나아지는 것이 나은지 잘 모르겠습니다. 저하고 맞는 의사선생님을 찾기도 힘든 것 같습니다. 두명의 선생님하고 저는 맞지 않아서 병원에 대한 신뢰가 떨어지고 실망감. 좌절감이 더 떨어졌답다. 너무 답답하고 괜찮은 척. 아무렇지 않은 척 하고 살기가 너무 힘들어집니다. ㅠ 좀 도와주세요.
9,특히 집에오면 아무것도 하기싫고 아무것도 못하겠어요. 우울증인가요.,"저는 원래 내성적, 내향적인 성격입니다. 하지만 학창시절에는 그저 주목받고 싶지만 수줍음이 많고, 긴장을 많이하는, 평범한 사람이라고만 생각했습니다. (실제로 학급반장이나 부장등을 맡곤 했습니다.) 친구들은 제가 내성적이라는 제 말을 재밌어했고, 회사생활에서도 조용한 성격이라는 말을 들은적이 없습니다. 하지만 사실은 내성적이지만 외향적이고 싶었던, 그래서 인기있고 인정받고 싶었던 그런 거였던 것같아요. 욕심이었나봐요. 어느 유튜브에서 본것처럼 사회성일 발달했던 걸수도 있구요. 주변에도 저같은 분들이 많으실꺼에요. 다수보다 소수의 모임이 편한 사람. 약속이 잡히면 미루고싶고 취소하고 싶지만 막상만나면 너무 즐거운 사람. 그리고 분명 즐거웠지만 집에가면 넉다운 되는 사람. 집에 있는 것이 좋은 집돌이 집순이들. 그런데 나이가 들면 들수록, 집에 있는 것이 좋지만은 않습니다. 코로나 핑계로 모임이 줄어들어서 좋지만, 집에있으면 외롭고 잉여가 된 느낌입니다. 우울해질까봐 친두들을 만나봐도, 예전처럼 즐겁지 않더라구요. 저와 관심사가 달라서인지, 아님 제가 요즘 관심을 갖는 분야가 전혀 없어서 인지, 어떤 모임을 나가도 즐겁지가 않습니다. 내가 뒤쳐지는 건 아닌가 싶기도 합니다. 예전에는 술자리를 좋아했습니다. 술자리는 유쾌하고, 술의 힘을 빌려 사람들과 좀더 쉽게 가까워질수 있어서요. 그런데 이제는 제몸 상해가면서(술이 세서 잘 안취합니다) 그런 자리를 갖고 싶지가 않더라구요. 이제 친구들은 가정이 있다보니 그럴 기회도 적구요. 그러다보니, 퇴근을 하면 곧장 집으로 가게 됩니다. 운동도 요가, 등산, 걷기 등 혼자하는 것을 좋아하고 , 주로하다보니 점점더 고립되는 기분입니다. 회사에서는 여전히 잘 지냅니다. 물론 20대처럼 해맑고 유쾌하고, 모든 사람과 잘지내고 그렇진 않습니다. 이제 그런것이 부질없고 그럴 에너지가 없어요. 전처럼 노력하지 않다보니 인간관계는 점점 좁아지고 있습니다. 스스로 느끼기에 확실이 이전의 저에 비해 무기력하고 무미건조하게 살고있지만, 그렇다고 사회생활에 문제가 있는 정도는 아닙니다. 여전히 저는 성실하고 밝은, 모나지 않은 동료이고, 적당히 즐거운 무던한 사회생활을 하고 있습니다. 그런데 문제는 집에서 입니다. 회사에서는 그럭저럭 잘 삽니다. 집에가서 운동도 하고 책도 읽고 청소도 하고 원데이클래스 주문한것도 하고 그림도 그려봐야지!! 평범하게 계획을 세우고 집에갑니다. 하지만 집에 도착하는 즉시, 귀찮음과 무기력함이 올라옵니다. 과자를 침대 맡에 뜯어두고 유튜브를 보다가 그대로 잠이 듭니다. 유튜브는 더이상 볼것이 없을 정도입니다. 얼마전까지는 넷플릭스를 봤으나, 요즘에는 집중력이 떨어진건지, 영화 한편을 끝까지 보는 것이 지루하고 힘들어서, 유튜브를 봅니다. 그리고 아침을 맞이합니다. 하루하루가 지루합니다. 이렇게 어떻게 평생을 사나 싶습니다. 그렇다고 제가 노력을 아예 안하는 것은 아닙니다. 다만 제가 좋아하는 취미나 운동은 보통 혼자하는 것입니다. 사람들을 만나는 취미를 가지라는 친구들의 조언에 동호회도 가입해 봤지만, 코로나로 몇번이나 취소되고 모임을 진행하지 않다보니, '아 난 올해 뭘해도 안되는 건가?' 하는 말도안되는 생각까지 들더라구요. 유독 집에오면 모든게 귀찮고, 몸을 움직일수 없을 정도로 침대에만 누워있는 저. 이 무력감과 귀찮음. 이게 나이가 들면서 사회생활에 찌들고, 자아가 강해지고, 저의 내성적인 성격을 스스로 받아들여서 생기는 현상인지, 우울증으로 가는 단계인지 잘 모르겠습니다. ps: 혼자사는 것은 아니고 부모님과 함께 삽니다. 중간에 제가 공무원 준비를 2년 반 정도 한적이 있었는데, 그때부터 저의 내성적이고 예민한 성격을 외부로 드러내게 된 것 같습니다. 물론 지금도 여전히 어느정도는 그렇지 않은 척하며 사회생활하고 있습니다. + 댓글에도 썼지만, 저는 여러번의 공부와 실패, 이직을 통해, 지금 굉장히 만족스러운 직장생활을 하고 있습니다. 체력적으로도 전혀 피로하지 않고, 오히려 여유가 생겼습니다. 아마 심적, 체력적 여유가 생겼는데, 제 마음이나 생활은 여유를 즐기지 못하고, 무기력하게 지내는 것이 한심하기도 하고 답답합니다. 음 지금의 나는 너무 과하게 불필요한 휴식만 취하고 있어서 우울증인가 염려됩니다."
