,text
0,"시나리오집 양도 간절히 기다리고 있습니다
→악몽의 가시
→우울을 굳혀 만든 것
→눈과 비로 만든 세계

아래 오픈카톡으로 연락주세요!
https://open.kakao.com/o/skwmYHXc"
1,"@Sirup_2007
 제 부계에욤 우울트 섹트 욕트 다 있으니 오실분 팔로 해줘여♡"
2,"@ Paengro_Making<-웨엉이 계이 계정
/자동 트윗
/이제 우울트 보단 건강트,팔찌트,찐덕질 트 위주,교류 위주로 열심히 새로운 마음가짐으로 할 계정♡
/자동 트윗!.."
3,왜인지는 모르겠는데
4,"제 플계들입니다! 
혹시 당신. 오실 생각 없나요?

@ protect_lllic <우울, 사담계>
가끔 시적인 말이나 우울함을 털어놓는 계정입니다

@ tokuiten_lllic 
수위 연성이나 실제 사진을 올리는 곳입니다
-bot"
5,"아 맞다 오늘 점심 때 햄버거 먹기로 했지
존나 설레 시발
식충이는 또 쳐먹을 때만 기분 좋그등여~~~"
6,근데 진짜 내 모든 우울은 공부에서부터 비롯됨 일단 공부를 ㅈ나게 못해서 거기서 자존감이든 자존심이든 좆나게 깎여서 우울도진것임 공부를 하면 해결됨..가족관계는 어쩔수없고
7,이젠 스트레칭도 누워서 쳐 하네 ㅋㅋㅋㅋㅋㅋㅋ 진짜 걍 죽어주세요.. 이딴 게 인간이라고 살아있네요
8,"@hetetet_simyung
 님에게 보내는 답글"
9,"존나 휴대폰도 바꿔야 하는데 하루종일 트위터만 하는 새끼가 좋은 폰 써서 뭐하나 싶어서 개버팀
+ 곧 뒤질 샛기가 좋은 폰은 왜?
+ 존나 겁나서 죽지도 못함 좆같음 시발"
10,"@Lina_cute12_08
 님에게 보내는 답글"
11,요즘 반지가 사고 싶은데 시발 곧 죽니 마니 하는 새끼 손가락에 무슨 금가락지를 끼나
12,"#일상계_트친소 #트친소 #울상계
04여
일상80% 우울20%
애인있음

나랑 짱친하자!!!
섹계 빼고 다받음!
흔적 남겨주쉐이~~"
13,"앰네스티와 함께 미얀마 군부의 심각한
인권 침해를 알리는 일에 동참해주세요!

여러분의 관심은 인권 침해의 진실을 찾고
전 세계에 알리는데 큰 도움이 됩니다."
14,씨바ㅓㅜㅠㅠㅠㅠㅠ 내가 어제 얼마나 우울햇는데ㅠㅠㅓㅑㅓㅠ
15,"시발 수영은 죽을 때까지 배우면 안 되겠네
혹시라도 물에 빠져 죽을 기회가 생겼는데 존나 본능적으로 해엄쳐나오면 시벌 개좆같을 듯"
16,"아 시발 다 좆같네
지금 씻고 일어나서 밥 먹으면 되는데 그럼 다시 못 눕잖아
안 일어날래 ㅅㄱ"
17,"[연 3.2% 채무통합 2차 정부지원 안내]

연3.2% / 한도 1억 / 최장100개월

※우대사항

-4대보험 가입 근로자

-신용카드 보유 근로자

-카드론사용자,2금융권사용자,중고금리대출 사용자 우대"
18,"@sstorking
 님에게 보내는 답글"
19,아야마리키노코의 우울 진짜 너무 귀여운데 이런 에버노트같은 가사에 설레는 나는 뭐냐고
20,"나 사실 우울계 전계정 팔로워가 1300명이였는데 어떻게 그만큼이나 끌어올린건지 모르겠음,,
엄빠한테 들키기전까지 그 계정 사용했었는뎅 이젠 아예 안 들어감,,"
21,분명 아무것도 아닐텐데 난 왜이러지
22,"@nabibubet
 님에게 보내는 답글"
23,"@killer_1483
 님에게 보내는 답글"
24,너를 싫어하는게 아니야.
25,"#일상계_트친소 #우울계_트친소 #트친소
Intp 06 여자
일상/우울글 올리는 계정
본계에선 그림그리고 웹툰 좋아함
다들 저를 보셨죠? 이제 흔적 남겨서 저랑 친구해주시면 됩니다."
26,놀고 싶은데 학교 가야한다..
27,우울계인 척 하는 감성계인 건 도대체 뭘까 사람들이 그래서 병원 다니고 상담 다니는 걸 트친소에 적어두는 걸까
28,"@a4wkls0qy9kIkyG
 님에게 보내는 답글"
29,"@fqPFz0VN3tcU1YQ
 님에게 보내는 답글"
30,"@B_Restrained_K
 님에게 보내는 답글"
31,소외감 하나로 난 이렇게 떨어졌어
32,"[연 3.2% 채무통합 2차 정부지원 안내]

연3.2% / 한도 1억 / 최장100개월

※우대사항

-4대보험 가입 근로자

-신용카드 보유 근로자

-카드론사용자,2금융권사용자,중고금리대출 사용자 우대"
33,미안할 일이 너무 많아
34,"[메디팜헬스뉴스] 청년층이 잘 빠지는 ‘우울의 늪, 코로나 블루’"
35,"@fuslie
 님과 
@100Thieves
 님에게 보내는 답글"
36," 시나리오집 양도 판매 구합니다 
 우울을 굳혀 만든 것 (우울굳)
 눈과 비로 만든 세계 (눈비세)
 100시간 연대기 (백대기)

소프트 하드 쇄 하자 관계없습니다!
문의는 DM 부탁드려요"
37,너는 내가 말 못해서 안하는 줄 알아?
38,이건 잘못된 선택이었나
39,"우정반지
우울글귀
우메다
우드소품
우드
유산소운동
유행네일
우래옥
우니
우성
유정연
우럭
유타
유지어터
유노윤호
우디
우지호
우정촬영
우육면
우정템
유머유머스타그램
우리집
district91501"
40,내뒷계 올래? 걍우울트싸지르는곳
41,진짜 우울감보다 불안감이 더 높아져서 아무것도 집중이안돼
42,"[행복 티켓]

작은 행복과 소소한 행운을 담은 티켓입니다.
당신의 우울로 이 티켓을 구매 할 수 있어요.
구매하시겠습니까?

[yes / no]"
43,"@ghdehfwn
 님에게 보내는 답글"
44,"[로라드렉] 알베르토 로라스의 우울 1
https://posty.pe/g7rcre

따로 갈피꾸며주고싶지도 않은 정크단문... 마감하기 싫어죽을것같을때마다 200자씩갈길것 
소프트섭돔플(예정)"
45,자고 인나서 점심에 나가서 우울감을 어떻게 풀어줄까...
46,너무 졸려서 개좆같은 노래가 흘러나오는데되도 못 알아듣노
47,"[연 3.2% 채무통합 2차 정부지원 안내]

연3.2% / 한도 1억 / 최장100개월

※우대사항

-4대보험 가입 근로자

-신용카드 보유 근로자

-카드론사용자,2금융권사용자,중고금리대출 사용자 우대"
48,형이 춤을 추면요 기분이 좋아져서 엔돌핀이 돌아서요 세로토닌 분비를 촉진하고 우울감이 저하돼서 세포가 회복하는 속도가 빨라져요
49,"【http://asked.kr/momomsii0625】

•우울트 올림.
•그림: 45%.
•사담: 55%.
•욕트 올리수도 있음.

•교류=
.
•노래듣기, 영화보기=
."
50,"새벽까지 깨어있는 사람은 보, 보통 새벽 즈음 모, 몰려오는 우울에 잠 못 이루니까 ..."
51,"와 ㅅㅂ 존나 졸려서 글자가 분산되어 보여
근데 막상 눈 감으면 잠에 못 듦"
52,"[연 3.2% 채무통합 2차 정부지원 안내]

연3.2% / 한도 1억 / 최장100개월

※우대사항

-4대보험 가입 근로자

-신용카드 보유 근로자

-카드론사용자,2금융권사용자,중고금리대출 사용자 우대"
53,"당신이랑 우울은 달리 어울리는 편이 아냐. 내 앞에서 약하 모습 보이지 마. 그 상처를 들쑤셔버리고 싶으니까. 내가 아직 모르는 면이 있다는 걸 알아버리면, 끝없이 알고 싶다는 욕망에 시달릴 것 같아. 그러니까 넌 그냥 그대로만 있어."
54,"#일상계_트친소 #트친소

우울 마이너 펑크 락시크 인디 밴드 음악 예술 
0n 자퇴생"
55,뭔가 새벽은 엄청나게 기분이 하이하이 해져서 기분이 째진다 자기싫어 좀 랜덤성이지만 우울맥스찍거나 엄청하게 하이해지는데 요즘은 하이해~!~!~~!!
56,내가 욕심을 부려서 그런걸까
57,뭔가 이빨 뽑고 싶어
58,"아 존나 피곤해 ㅠㅠㅠ 그러나 안 자고 왜 버티는지는 모름
이 잠에 취해서 몽롱한 게 약 빤 것처럼 좋은가"
59,작업하다가 불다끄고 누우면 우울과 피로란 물에 적셔서 끄집어낸 천뭉치같이 됨.....맨날 이렇게 생각이 많아진다
60,"우울 > 대충 살고 싶음 > 종일 잠만 잠 > 현타 > 우울 >대충 살고 싶음 > , , ,"
61,"아~ 존나 피곤한데 다시 눈 감기가 싫어
노래를 좀 들어야겠어
풍악을 울려라~!~!~!"
62,이빨 뽑고 싶은 충동
63,"나 원래 존나 이해가 안 갈 만큼 망나니얐는대 그 동안 착한 척 개오졌음
요즘 다시 스스로도 이해가 안 가는 망나니가 되어가는 중"
64,"앰네스티와 함께 미얀마 군부의 심각한
인권 침해를 알리는 일에 동참해주세요!

여러분의 관심은 인권 침해의 진실을 찾고
전 세계에 알리는데 큰 도움이 됩니다."
65,"그래 주변 사람들이 좋아해 준 건 내가 아니라 착한 척 연기하는 나였음
이젠 그러기 지친 거고"
66,"아 포타 존나웃김
이게 그냥 로맨스나 우울물이었음
진즉에 잫ㅇㅡㄹ텐데
로코라서
웃느라 잠을 못잠
굿"
67,그냥 매일 괴로워해서 주변 사람들 하나 둘 떠나가거나 동정이나 받는 게 나한테 맞아
68,"근데 진짜 나에게도 봄이 올까? 안 왔으면 좋겠는데..
이 인생에서 기분 좋아서 뭐 해?"
69,"인스타에 친한 친구 설정 해놓고 우울글 올렸는데 친구들이 글 봐서 좋음 
 씹관종새끼라 "
70,한 번 깨면 약간의 두통과 함께 다시 잠에 못드는... 아니면 내가 일부러 안 자려고 하는 건지도 잘 모르겠다
71,"밴딧 존나 우린다뒤질거야..운이좋든나쁘든..오늘은팀이지만내일은또모르지..이러고잇는데 졸라 우울충인데 개뜬금없이 얘는 장난이 많음 띡써잇음
이거대체머란말임?
독남재미없다는편견잇어서 독일남캐들 전부 재미잇다! 유머감각이잇다! 이런설정 꽉꽉채워넣엇는데"
72,"우울증이 무서운 건, 밖에서는 하하 호호 깔깔깔 웃다가 들어와서 집에 있으면 갑자기 금세 우울에 빠져 자살사고로 이어진다는 점이다.

환경에 따라, 시간에 따라 순식간에 변하는 내 사고와 기분에 나 스스로가 무섭다."
73,"아니 밴딧 설정도.. 이새끼들이 힘내서 긍정충캐만들고 덤덤충 변태쇅 꼰대쇅 싸이코 주정뱅이 별별캐만들고 이제 우울충멘헤라중년남캐만들엇는데 뒤늦게
헐!!!독일남이이러면 안되는데!!! 하고 얘는 장난기가 많습니다!!!급하게 이상한설정 쑤셔넣음"
74,"오늘도, 힘들다."
75,전부 망상일 뿐이야
76,"잠이 안오니
오랜만에 
뒷계 팔로우 하실 분 모집해요
우울트는 별로 없는데 
일상트 욕트 섹트(이건 일본어로 씀) 올려요
성인분들만 받습니다^*^&!
멘션이든 디엠이든 편히 주세요!"
77,ㅁ왜 나한테 지랄ㄹ이야 제발 꺼지라구ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ(욕트 우울ㄹ트ㅡ....힝 미안해요((두가지 자아 충돌
78,기만질하는 유사 우울계 다 쳐낼게요
79,"카구라가 절망하는 목소리가 귓가에 맴돌아요 .. 그 아이가 애처로운 것을 깨닫는 순간이 왜 이리도 좋고 동시에 내 사지의 끝이 시려오는 걸까요 너는 분명 그런 현실을 담담하게 받아들였는데 ... 아닌가, 그건 확연하고도 수동적인 우울이었나"
80,정신질환 십몇년보유자는 심지어 우울감에 안락함을 느끼고 더 취하고 싶다는 생각을 하게되는데…
81,그냥… 그러네 완벽하지 못한게 인간이라지만 적어도 다른 인간들처럼만이라도 평범하게 기능하면 좋을텐데 그것도 아닌것 같고 그냥 쓸모없게 느껴진다 벌써 약물 치료 받은지도 4년인데 언제까지 이 우울감을 안고 살아야할까
